time,measurement_type,pos_x,pos_y,theta
1.65,model,-9.429291783919991e-09,-3.292520644126667e-08,9.737844288730716e-09
1.6600000000000001,model,-9.426444613497489e-09,-3.2929725449924684e-08,9.792712183104697e-09
1.67,model,-9.4235974430767e-09,-3.293424445858042e-08,9.84758007745408e-09
1.6800000000000002,model,-9.420750272648722e-09,-3.293876346724804e-08,9.902447971950448e-09
1.69,model,-9.417903102208932e-09,-3.294328247593485e-08,9.957315866682992e-09
1.7,model,-9.415055931791467e-09,-3.294780148458672e-08,1.0012183760993712e-08
1.71,model,-9.412208761360884e-09,-3.295232049325987e-08,1.0067051655565798e-08
1.72,model,-9.409361590952803e-09,-3.295683950189777e-08,1.0121919549712698e-08
1.73,model,-9.406514420518051e-09,-3.296135851057847e-08,1.0176787444382001e-08
1.74,model,-9.40366725011241e-09,-3.296587751921342e-08,1.0231655338498777e-08
1.75,model,-9.400820079695728e-09,-3.297039652786637e-08,1.0286523232836797e-08
1.76,model,-9.397972909277048e-09,-3.297491553652296e-08,1.0341391127221795e-08
1.77,model,-9.395125738847711e-09,-3.297943454519692e-08,1.0396259021820656e-08
1.78,model,-9.392278568445058e-09,-3.2983953553828986e-08,1.0451126915913783e-08
1.79,model,-9.3894313980351e-09,-3.2988472562473124e-08,1.0505994810156178e-08
1.8,model,-9.3865842276198e-09,-3.299299157112621e-08,1.0560862704509954e-08
1.81,model,-9.383737057210718e-09,-3.299751057976989e-08,1.061573059875237e-08
1.8199999999999998,model,-9.380889886787685e-09,-3.300202958843617e-08,1.0670598493272141e-08
1.83,model,-9.378042716391328e-09,-3.3006548597060575e-08,1.072546638728627e-08
1.9100000000000001,model,-9.355265353172581e-09,-3.304270066614864e-08,1.116440954062755e-08
1.92,model,-9.352418182775692e-09,-3.3047219674778095e-08,1.1219277434728209e-08
1.9300000000000002,model,-9.349571012366259e-09,-3.3051738683427924e-08,1.1274145329079138e-08
1.94,model,-9.346723841971803e-09,-3.3056257692054447e-08,1.1329013223149952e-08
1.95,model,-9.343876671594255e-09,-3.306077670065458e-08,1.1383881116903341e-08
1.96,model,-9.341029501202393e-09,-3.306529570927791e-08,1.143874901094103e-08
1.97,model,-9.338182330810179e-09,-3.306981471790227e-08,1.1493616904994024e-08
1.98,model,-9.335335160420858e-09,-3.3074333726522505e-08,1.1548484798999686e-08
1.99,model,-9.33248799001898e-09,-3.307885273516313e-08,1.1603352693255837e-08
2.0,model,-9.329640819632092e-09,-3.308337174378041e-08,1.1658220587231569e-08
2.05,model,-9.117898778014896e-09,-7.846950739905305e-06,1.652317628318035e-08
2.06,model,-9.066599390134611e-09,-1.206697284096026e-05,1.7704152036807654e-08
2.07,model,-9.015299999294924e-09,-1.7194525374286435e-05,1.8885127855924405e-08
2.08,model,-8.964000605575866e-09,-2.3229608339891422e-05,2.006610373868812e-08
2.09,model,-8.912701208896969e-09,-3.0172221737775183e-05,2.1247079686951344e-08
2.1,model,-8.86140180931825e-09,-3.80223655679377e-05,2.24280556993323e-08
2.11,model,-8.810102406976007e-09,-4.6780039830386726e-05,2.3609031772693372e-08
2.12,model,-8.758803001602746e-09,-5.644524452509946e-05,2.4790007913192412e-08
2.13,model,-8.707503593401486e-09,-6.701797965210603e-05,2.5970984116155904e-08
2.14,model,-8.65620418216534e-09,-7.84982452113838e-05,2.715196038634658e-08
2.16,model,-8.553605351287527e-09,-0.00010418136762677617,2.9513913112314217e-08
2.17,model,-8.5023059314535e-09,-0.00011838422448289805,3.069488957251956e-08
2.18,model,-8.451006508716112e-09,-0.00013349461177129124,3.187586609692422e-08
2.19,model,-8.399707083078962e-09,-0.00014951252949196335,3.305684268544535e-08
2.2,model,-8.348407654535851e-09,-0.00016643797764491415,3.4237819338225514e-08
2.21,model,-8.297108223090976e-09,-0.00018427095623013636,3.54187960551682e-08
2.22,model,-8.245808788706952e-09,-0.0002030114652476449,3.6599772837134014e-08
2.23,model,-8.194509351526196e-09,-0.00022265950469743965,3.77807496808444e-08
2.24,model,-8.143209911334493e-09,-0.0002432150745794983,3.8961726591230844e-08
2.25,model,-8.091910468345997e-09,-0.00026467817489384335,4.0142703563363075e-08
2.26,model,-8.040611022373228e-09,-0.000287048805640475,4.1323680601557344e-08
2.27,model,-7.989311573557223e-09,-0.00031032696681937807,4.250465770256678e-08
2.2800000000000002,model,-7.938012121825146e-09,-0.0003345126584305449,4.368563486806803e-08
2.29,model,-7.886712667176295e-09,-0.00035960588047401296,4.486661209807739e-08
2.3,model,-7.835429211268759e-09,-0.00038560663295914726,4.604722101334795e-08
2.31,model,-7.784162520386615e-09,-0.00041251491586716813,4.722744397325794e-08
2.32,model,-7.732895834129724e-09,-0.0004403307292074621,4.840766682405212e-08
2.33,model,-7.68162914490451e-09,-0.0004690540729800348,4.958788974054444e-08
2.34,model,-7.630362452818555e-09,-0.0004986849471848864,5.0768112720258185e-08
2.35,model,-7.57909575783471e-09,-0.0005292233518220167,5.194833576404874e-08
2.36,model,-7.527829060068124e-09,-0.0005606692868914263,5.312855886926504e-08
2.37,model,-7.476562359285258e-09,-0.0005930227523931142,5.430878204128349e-08
2.38,model,-7.425295655505639e-09,-0.000626283748327096,5.548900527965449e-08
2.39,model,-7.374028949032888e-09,-0.0006604522746933267,5.6669228577388455e-08
2.4,model,-7.3227622394495635e-09,-0.0006955283314918584,5.784945194409538e-08
2.41,model,-7.2714955270045454e-09,-0.0007315119187226618,5.902967537404565e-08
2.42,model,-7.220228811758063e-09,-0.0007684030363857437,6.020989886585284e-08
2.43,model,-7.1689620936798e-09,-0.0008062016844811122,6.13901224202147e-08
2.44,model,-7.117695372525795e-09,-0.0008449078630087519,6.257034604274764e-08
2.45,model,-7.06642864854308e-09,-0.0008845215719686626,6.375056972776467e-08
2.46,model,-7.0151619218710175e-09,-0.0009250428113608527,6.493079347205743e-08
2.4699999999999998,model,-6.963895192038014e-09,-0.000966471581185351,6.611101728648267e-08
2.48,model,-6.912628459343845e-09,-0.0010088078814420908,6.729124116413917e-08
2.49,model,-6.861361723797107e-09,-0.001052051712131132,6.847146510482897e-08
2.5,model,-6.810094985454035e-09,-0.0010962030732524371,6.965168910725744e-08
2.51,model,-6.75882824401036e-09,-0.001141261964806028,7.083191317842935e-08
2.52,model,-6.7075614996909525e-09,-0.001187228386791898,7.201213731316776e-08
2.5300000000000002,model,-6.656294752607542e-09,-0.0012341023392100391,7.319236150890073e-08
2.54,model,-6.605028002568678e-09,-0.0012818838220604743,7.43725857700355e-08
2.55,model,-6.553761249665717e-09,-0.0013305728353431882,7.555281009446902e-08
2.56,model,-6.502494493861077e-09,-0.0013801693790581658,7.673303448306638e-08
2.57,model,-6.451227735049084e-09,-0.00143067345320543,7.79132589382604e-08
2.58,model,-6.399960973369059e-09,-0.001482085057784965,7.909348345684366e-08
2.69,model,-5.8360264041379415e-09,-0.0021075097166903117,9.207595737858164e-08
2.7,model,-5.784759607778772e-09,-0.0021698116864572,9.325618266388563e-08
2.71,model,-5.733492808476093e-09,-0.002233021186656367,9.443640801431647e-08
2.7199999999999998,model,-5.682226006273384e-09,-0.0022971382172878125,9.561663342887332e-08
2.7800000000000002,model,-5.374625132136242e-09,-0.0027008985401543195,1.0269798726332496e-07
2.79,model,-5.32335830973305e-09,-0.002771368283811717,1.0387821312446745e-07
2.8,model,-5.27209148442264e-09,-0.0028427455579013777,1.0505843904990131e-07
2.81,model,-5.22082465599605e-09,-0.0029150303624233325,1.0623866504443717e-07
2.82,model,-5.169557824865096e-09,-0.0029882226973775663,1.0741889109859443e-07
2.83,model,-5.118290990822378e-09,-0.0030623225627640716,1.0859911721714775e-07
2.84,model,-5.067024153807451e-09,-0.0031373299585828627,1.0977934340148863e-07
2.85,model,-5.015761483895504e-09,-0.003213244884836308,1.1095947365100357e-07
2.86,model,-4.964503005468645e-09,-0.0032900673415196665,1.1213950740444965e-07
2.88,model,-4.861986044132918e-09,-0.003446434846183194,1.1449957500661659e-07
2.93,model,-4.605693589931959e-09,-0.0038532353904068856,1.203997451368106e-07
2.94,model,-4.554435090481925e-09,-0.003937318090548447,1.2157977935315218e-07
2.95,model,-4.50317658808694e-09,-0.004022308321122302,1.2275981363465466e-07
